# 출처: https://datalaw.kr/damages/ · 작성 기준일 2026-09-12 · 공개 판례 원문에서 사람이 정리한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 판결문 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
사고,사고 유형,피고,피고 표기 근거,침해내용,결과,확정 상태,1인당 인정액,인정액 경위,심급 경과,판단을 가른 것,행 주소
온라인게임 이용자 개인정보 노출 (2005),대량 유출,엔씨소프트,항소심 판결문 실명,게임서비스 시스템 사고로 이용자 개인정보가 노출될 위험 발생 (2005-05-11),인용,대법원 확정,1인당 10만 원 확정,원고 5인 중 3인 인용 — 1심 각 50만 원이 항소심에서 감액,"[1심] 2006-04-28 서울중앙지방법원 2005가단240057 (각 50만 원 일부 인용) → [항소심] 2007-01-26 서울중앙지방법원 2006나12182 (제1심 판결 변경, 원고 3인에게 각 10만 원(나머지 청구·원고 2인 기각)) → [상고심] 2008-08-21 대법원 2007다17888 (상고 기각 — 확정 (심판범위는 원심이 배척한 부분에 국한))","다수 이용자로부터 수익을 얻는 사업자의 정보관리 책임을 무겁게 보되, 로그파일이 이용자 개인 PC에 저장됐을 뿐 실제 유출 자료가 없는 원고들은 정신적 고통을 인정하지 않음",https://datalaw.kr/damages/#dm-0
은행 이메일 발송 사고 — 첨부파일로 개인정보 노출 (2006),대량 유출,국민은행,항소심 판결문 실명,"이메일 발송 과정에서 성명·주민등록번호·이메일 주소가 담긴 텍스트 파일을 첨부해 회원 3,723명에게 전송 (2006-03-15)",인용,항소심 확정 (상고 없음),1인당 20만 원(목록 1·2) / 10만 원(목록 3) 확정,1심 10만/7만에서 항소심 증액,"[1심] 2007-02-08 서울중앙지방법원 2006가합33062, 53332 (목록 1·2 각 10만 원, 목록 3 각 7만 원) → [항소심] 2007-11-27 서울고등법원 2007나33059, 33066 (위자료를 각 20만 원·10만 원으로 정함(주문의 10만·3만 원은 1심 인용액에 더하는 추가 지급액))","성명·주민등록번호·이메일이 결합돼 식별가능성이 커진 점, 개인정보를 영리적으로 이용하는 사업자의 책임, 스스로 개인정보보호방침·약관으로 책임을 다짐한 점, 사고 후 정보도용 차단서비스가 1년으로 제한된 점",https://datalaw.kr/damages/#dm-1
온라인게임 명의도용 회원가입 (2006),대량 유출,엔씨소프트 외 1인,항소심 판결문 실명,제3자가 원고들 명의를 도용해 게임 회원으로 가입 — 게임사의 본인확인·관리 책임이 다투어짐,기각,대법원 확정,—,,"[1심] 2007-05-31 서울중앙지방법원 2006가합22338, 38197 (청구 전부 기각) → [항소심] 2008-08-29 서울고등법원 2007나62538, 62545 (원고 10,676인) → [상고심] 2009-05-14 대법원 2008다75676 (상고 기각 — 확정 (공2009상,831))",게임사의 불법행위 책임 부정,https://datalaw.kr/damages/#dm-2
채용 사이트 입사지원자 정보 노출 (2006),대량 유출,엘지전자,,채용 사이트에서 입사지원자 정보(사진 포함)가 외부에 노출 (2006-09-26),인용,대법원 확정,1인당 30만 원 확정,별지 1 원고들 — 항소심에서 1심 인용액 감액,"[1심] 2008-01-03 서울중앙지방법원 2006가합87762 등 → [항소심] 2008-11-25 서울고등법원 2008나25888, 25895, 25901 (30만 원 초과 부분 취소) → [상고심] 2009-03-26 대법원 2008다96826, 96840, 96833 (각 상고 기각 — 심리불속행(상고심절차특례법 제4조·제5조), 30만 원 확정)","사고 당시 보안조치 수준, 사고 후 대응의 신속성·적절성, 피해자 안내의 적절성을 산정 요소로 명시",https://datalaw.kr/damages/#dm-3
오픈마켓 해킹 — 회원 정보 대량 유출 (2008),대량 유출,이베이옥션·인포섹,,메인 데이터베이스 서버 해킹으로 회원의 이름·주민등록번호·주소·전화번호·아이디·계좌번호 등 유출,기각,대법원 확정 (병렬 상고심 3건),—,,"[1심] 2010-01-14 서울중앙지방법원 2008가합31411, 58638 등 병합 다발 (기각 (일부 각하)) → [항소심] 2013 서울고등법원 등 2010나31510·31534·29555, 대구고법 2010나3910 (항소기각) → [상고심] 2015-02-12 대법원 2013다43994, 44003 (병렬 2013다48715·64847) (상고 기각 — 원고 패소 확정)",고시 「개인정보의 기술적·관리적 보호조치 기준」의 조치를 다했다면 원칙적으로 보호조치 의무 위반이 아니라는 기준을 세운 리딩케이스 — 이후 해킹 사고 소송에서 반복 인용되며 사업자 과실 인정의 문턱이 된 판결,https://datalaw.kr/damages/#dm-4
정유사 보너스카드 고객정보 직원 유출 (2008),대량 유출,지에스칼텍스·지에스넥스테이션 등,,"수탁사 직원이 보너스카드 회원 고객정보를 빼내 저장매체로 반출, 언론 제보 명목으로 전달",기각,대법원 확정,—,,"[1심] 2010-09-16 서울중앙지방법원 2008가합111003 등 (기각) → [항소심] 2011-06-24 서울고등법원 2010나111478, 111485, 111492 (항소 기각) → [상고심] 2012-12-26 대법원 2011다59834, 59858, 59841 / 2011다60797 등 (상고 기각 — 원고 패소 확정)",유출 정보가 유통되기 전 전량 회수·압수돼 제3자 열람 가능성이 낮음 — 위자료로 배상할 정신적 손해 불발생. 이후 판결들이 반복 인용하는 판단 기준(정보의 종류·식별가능성·열람 여부·확산 범위·추가 피해 가능성·회수 노력)이 이 판결에서 정립,https://datalaw.kr/damages/#dm-5
스마트폰 위치정보 무단 수집 (2010~2011),대량 유출,애플코리아·Apple Inc.,대법원 판결문 기준 실명,위치서비스를 '끔'으로 설정한 상태에서도 기지국·Wi-Fi 위치값이 서버로 전송된 결함,기각,대법원 확정,—,,"[1심] 2014-06-26 창원지방법원 2011가합7291 등 (기각) → [항소심] 2015-11-05 부산고등법원(창원) 2014나21277 등 (항소 기각) → [상고심] 2018-05-30 대법원 2015다251539 등 5건 (상고 기각 — 원고 패소 확정 (공2018하,1174))",수집 사실만으로 위자료로 배상할 정신적 손해를 인정하지 않음 — 위치정보 무단 수집의 손해배상 판단 기준을 확정한 공간 판결,https://datalaw.kr/damages/#dm-6
택시기사 위치정보 무단 열람 (콜 관제시스템),대량 유출,콜 관제시스템 운영 관련자들,,동의 없이 개인택시 기사들의 위치정보를 수집·열람,인용,대법원 확정 (환송 후),1인당 20만 원 확정,,[1심] 2013-09-24 수원지방법원 성남지원 2012가단49376 (각 20만 원 일부 인용) → [항소심] 2014-07-17 수원지방법원 2013나41513 (환송 전 항소심) → [상고심] 2016-09-28 대법원 2014다56652 (원고 패소 원심 파기환송) → [항소심] 2017-10-17 수원지방법원 2016나17887 (환송 후 항소심 — 원·피고 항소 모두 기각(각 20만 원 유지)) → [상고심] 2018-04-10 대법원 2017다50198 (지연손해금 부분만 일부 파기 — 위자료 1인당 20만 원 확정),"위치정보 무단 수집·이용의 위자료 판단 기준(식별가능성·열람 여부·기간·회수 노력 등)을 제시하고 심리 없이 청구를 배척한 원심을 파기. 환송 후 1인당 20만 원이 유지됐고, 재상고심은 지연손해금의 이율 기산점(소송촉진법 제3조 제2항의 항쟁 상당성)만 바로잡았다",https://datalaw.kr/damages/#dm-7
통신사 영업시스템 고객정보 유출 (2012),대량 유출,케이티,"1심 판결문 실명, 일부 항소심은 비실명",영업시스템(N-STEP) 조회 권한을 악용한 정보유출자들이 고객정보를 조회·유출해 텔레마케팅 등에 사용,기각,확인된 항소심·상고심에서 기각으로 수렴 (갈래 다수),—,"1심은 1인당 10만 원 인용, 항소심에서 전부 취소","[1심] 2014-08-22 서울중앙지방법원 2012가합533204 등 병렬 다수 (각 10만 원 일부승) → [1심] 2014-12-05 서울중앙지방법원 2012가단216564 (일부 인용 (소액 갈래)) → [항소심] 2017~2019 서울고등법원 2014나2032746 (2017-01-13) · 2014나2032708 (2019-11-28) · 2014나2032715 (2019-08-30) (1심 취소, 청구 전부 기각 — 2032746이 대법원 2017다207994의 원심) → [항소심] 2019-09-18 서울고등법원 2014나2032722 (병렬 항소심 — 1심 취소, 청구 전부 기각 (원심 서울중앙 2012가합83365)) → [항소심] 2020-07-08 서울중앙지방법원 2019나7258 (소액 갈래 1심(2012가단216564) 취소, 청구 기각) → [1심] 2019-02-14 대구지방법원 2012가합43151 (기각 (대구 갈래)) → [상고심] 2018-12-28 대법원 2017다207994 (원고 상고 기각 — 패소 갈래 확정)","1심은 유출·유통 사실로 정신적 손해를 인정했으나, 항소심·상고심은 보호조치 의무 위반 판단 기준(고시 준수)에 따라 사업자 책임을 부정 — 1심 인용이 상급심에서 뒤집힌 대표 사건",https://datalaw.kr/damages/#dm-8
통신 3사 통신자료 제공내역 공개청구 거부 (2013) — 유출 아님·열람 거부 유형,대량 유출,에스케이텔레콤·케이티·엘지유플러스,,수사기관에 대한 통신자료 제공내역의 공개(열람) 요구를 거부당한 이용자들이 위자료를 청구,인용,대법원 확정,"SKT 1인당 30만 원, KT·LGU+ 1인당 20만 원",항소심 인용액이 그대로 확정,[1심] 2014-05-20 서울중앙지방법원 2013가합517759 (일부승) → [항소심] 2015-01-19 서울고등법원 2014나2020811 (SKT 각 30만·KT/LGU+ 각 20만 원) → [상고심] 2018-07-20 대법원 2015다208856 (피고들 상고 기각 — 인용 확정),유출 사건이 아니라 열람·공개 요구 거부 유형 — 개인정보 자기결정권 행사를 막은 것 자체가 위자료 대상이 된 사례. 유출 없는 침해에서도 배상이 인정된 드문 확정례,https://datalaw.kr/damages/#dm-9
