# 출처: https://datalaw.kr/timeline/ · 수집일 2026-09-11 · 국가법령정보센터 시행예정법령에서 기계 추출한 목록으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 법령 원문과 부칙을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
시행일,법령명,구분,제개정,공포번호,공포일,같은 개정의 다른 시행일,비고 요지,비고,해설,행 주소
2026-09-18,산업 디지털 전환 및 인공지능 활용 촉진법,법률,타법개정,제21467호,2026-03-17,,,,,https://datalaw.kr/timeline/#t-284365-20260918
2026-09-18,산업기술혁신 촉진법,법률,타법개정,제21467호,2026-03-17,,,,,https://datalaw.kr/timeline/#t-284363-20260918
2026-10-01,전기통신금융사기 피해 방지 및 피해자산 환급에 관한 특별법,법률,일부개정,제21503호,2026-03-31,,,,,https://datalaw.kr/timeline/#t-285053-20261001
2026-10-01,전기통신사업법,법률,타법개정,제21503호,2026-03-31,,,,,https://datalaw.kr/timeline/#t-285185-20261001
2026-10-01,전기통신사업법,법률,일부개정,제21499호,2026-03-31,,,,,https://datalaw.kr/timeline/#t-285145-20261001
2026-10-01,정보통신망 이용촉진 및 정보보호 등에 관한 법률,법률,일부개정,제21500호,2026-03-31,2027-04-01,2026-03-31 공포 개정분,"침해사고 대응·정보보호 체계 강화 계열, 하위법령 입법예고(과기정통부 공고 제2026-754호)가 있었다; 2027-04-01 시행분은 별도 단계",,https://datalaw.kr/timeline/#t-285199-20261001
2026-10-02,통신비밀보호법,법률,타법개정,제21857호,2026-08-04,,,,,https://datalaw.kr/timeline/#t-288621-20261002
2026-10-02,형사사법절차에서의 전자문서 이용 등에 관한 법률,법률,타법개정,제21857호,2026-08-04,,,,,https://datalaw.kr/timeline/#t-288629-20261002
2026-10-08,디지털의료제품법,법률,타법개정,제21525호,2026-04-07,,,,,https://datalaw.kr/timeline/#t-285333-20261008
2026-10-29,저작권법,법률,일부개정,제21595호,2026-04-28,2027-01-01,,,,https://datalaw.kr/timeline/#t-285693-20261029
2026-11-20,전기통신사업법,법률,일부개정,제21652호,2026-05-19,,,,,https://datalaw.kr/timeline/#t-286079-20261120
2026-12-10,방위산업기술 보호법,법률,일부개정,제21768호,2026-06-09,,,,,https://datalaw.kr/timeline/#t-286753-20261210
2026-12-17,전자금융거래법,법률,일부개정,제21205호,2025-12-16,,,,,https://datalaw.kr/timeline/#t-280277-20261217
