# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
1,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,홈페이지 게시물 착오 등록으로 개인정보가 유출된 것에 대한 손해배상 등 요구,15만원,"손해배상(15만원), 재발방지 조치","유출된 정보는 신청인들이 정당에 가입되어 있지 않다는 사실만을 드러낼 뿐, 신념, 정당의 가입, 탈퇴 사실, 정치적 견해 등은 확인되지 않아 보호법 제23조가 적용되는 민감정보에 해당하지 않음",제23조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2200&VA=content,https://datalaw.kr/mediation/#m-2200
2,2025,조정결정사례,동의 없는 개인정보 수집,개인정보 수집‧이용에 의한 침해행위 중지 등 요구,,재발방지 대책 마련,"피신청인이 이미 신청인의 이메일 주소정보를 삭제처리 하였고, 향후에도 재발하지 않도록 하겠다는 취지로 약속하였으므로, 피신청인이 보호법을 위반하였다고 단정하기 어려움. 다만 이메일 주소가 개인정보 수집목적(고지사항 전달, 본인 의사 확인, 의사소통 등)에 관하여 필요 최소한의 정보라고 보기는 어려우므로, 이메일 정보 입력 없이도 이용자에게 서비스 제공할 필요성이 있음",제16조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2198&VA=content,https://datalaw.kr/mediation/#m-2198
3,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,30만 원,"손해배상(30만 원), 재발방지 조치","피신청인의 개인정보처리시스템 안전조치 의무 소홀 행위로 말미암아 신청인의 개인정보가 유출되었으므로, 신청인의 의사에 반하여 개인정보 자기결정권이 침해되었으며 스팸메일 등 2차 피해의 우려가 있는 점을 고려할 때…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2189&VA=content,https://datalaw.kr/mediation/#m-2189
4,2025,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,개인정보 미파기에 대한 손해배상 등 요구,,기각,신청인이 파기를 요구하는 자료는 피신청인이 신청인이 제기한 소송에 대응하는 과정에서「민사소송법」제294조에 따른 사실조회 또는 제352조에 따른 문서송부의 촉탁에 관한 규정을 근거로 법원을 통하여 확보된 것이므로…,제15조 · 제21조 · 제22조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2188&VA=content,https://datalaw.kr/mediation/#m-2188
5,2025,조정결정사례,동의 없는 개인정보 수집,동의 없는 광고성 문자 전송에 대한 손해배상 등 요구,,기각,"피신청인의 광고성 문자 전송행위는 개인정보 보호법 및 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반에 해당함. 다만, 침해행위는 이미 중지되었고, 광고성 문자의 횟수, 침해 발생 시점과 분쟁조정 신청 시점의 간극, 신청인의 수신거부 의사표시가 없었던 점 등에 비추어볼 때 금전으로 위자할 정도의 정신적 손해는 발생하지 아니함",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2178&VA=content,https://datalaw.kr/mediation/#m-2178
6,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 열람 요구 불응에 대한 손해배상 등 요구,,기각,"개인정보처리자는 열람 요구를 하는 자에게 해당 개인정보처리자가 정하는 바에 따라 열람 요구에 필요한 실비의 범위에서 수수료를 청구할 수 있고, 영상분석 서비스업체에서 받은 견적서를 근거로 업체에서 청구한 실비의 범위 내에서 비용을 청구하였으므로…",제2조 · 제35조 · 제38조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2170&VA=content,https://datalaw.kr/mediation/#m-2170
7,2025,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 열람 및 이용에 따른 손해배상 등 요구,,기각,,제2조 · 제15조 · 제59조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2169&VA=content,https://datalaw.kr/mediation/#m-2169
8,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 민원 내용을 이송한 것에 대한 손해배상 등 요구,,기각,"피신청인은 민원접수 단계에서 기피부서 신청을 받고 있으며, 기피부서에 관한 판단은 법령상 강제사항이 아닌 행정 재량행위라고 안내 중임",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2168&VA=content,https://datalaw.kr/mediation/#m-2168
9,2025,조정결정사례,동의 없는 개인정보 수집,동의 없이 민감정보를 처리한 것에 대한 손해배상 등 요구,,기각,피신청인은 사고발생 시 현장에서 피신청인 담당자가 개인정보 수입·이용에 대한 민감정보 수집·이용(3자제공 포함)에 대한 동의서를 신청인으로부터 자필 서명을 받은 것이 확인되고 신청인도 자필서명을 인정함,제23조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2159&VA=content,https://datalaw.kr/mediation/#m-2159
10,2025,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 수집․이용에 따른 손해배상 요구,10만원,손해배상(10만원) 및 재발방지 조치,"신청인이 개인정보 수집에 동의하거나 경매관련 안내우편물 발송을 요구한 적이 없다는 점 등을 고려할 때, 피신청인이 전입세대인 신청인의 성명을 수집하고 우편발송한 행위는 보호법 제15조를 위반함",제2조 · 제15조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2158&VA=content,https://datalaw.kr/mediation/#m-2158
