# 출처: https://datalaw.kr/decisions/ · 기준일 2026-09-14 · 결정문 「이유」 절에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 결정문 원문을 확인하십시오 · 범위: 과징금 부과 사건 155건 중 백분율 문언이 적힌 120건, 행은 조문 단위 · 정정 요청: hyunsub.lee@seumlaw.com
의결일,안건번호,사건번호,피심인,과징금,산정 기준,조문,중대성,세부평가,1차 가중(%),1차 가중 사유,1차 감경(%),1차 감경 사유,2차 가중(%),2차 가중 사유,2차 감경(%),2차 감경 사유,사유 문언 미분류,피심인 주장 검토의견,행 주소,원문 게시물
2026-05-27,제2026-010-071호,2024조총0034-01 등 6건,㈜미소테크,"8,250만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,50,위반기간 2년 초과,10; 30,이득 없음; 중기업·소기업 해당; 비영리법인·공공,,,20,시정 완료; 조사 협력,,불수용 2회; 일부수용 1회; 수용 1회,https://datalaw.kr/decisions/#mt-2026-010-071,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0392
2026-05-27,제2026-010-069호,2024조총0034-01 등 6건,국립농업과학원,"2,310만 원",과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,불수용 2회,https://datalaw.kr/decisions/#mt-2026-010-069,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0392
2026-05-27,제2026-010-068호,2024조총0034-01 등 6건,농촌진흥청,"1억 6,800만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,불수용 1회; 수용 1회,https://datalaw.kr/decisions/#mt-2026-010-068,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0392
2026-05-27,제2026-010-066호,2024조총0034-01 등 6건,행정안전부,"2억 7,300만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,불수용 3회; 수용 1회; 일부수용 1회,https://datalaw.kr/decisions/#mt-2026-010-066,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0392
2026-05-13,제2026-009-060호,2024조일0040,보람상조피플 주식회사,250만 원,과징금 부과기준(2023년 개정 이후),제26조,약한 위반행위,개인정보 유형 하; 고의·과실 하; 부당성 하,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,일부수용 2회; 수용 1회,https://datalaw.kr/decisions/#mt-2026-009-060,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0352
2026-05-13,제2026-009-059호,2024조일0040,보람상조라이프 주식회사,480만 원,과징금 부과기준(2023년 개정 이후),제26조,약한 위반행위,개인정보 유형 하; 고의·과실 하; 부당성 하,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,일부수용 2회; 수용 1회,https://datalaw.kr/decisions/#mt-2026-009-059,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0352
2026-05-13,제2026-009-058호,2024조일0040,보람상조리더스 주식회사,420만 원,과징금 부과기준(2023년 개정 이후),제26조,약한 위반행위,개인정보 유형 하; 고의·과실 하; 부당성 하,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,일부수용 2회; 수용 1회,https://datalaw.kr/decisions/#mt-2026-009-058,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0352
2026-05-13,제2026-009-057호,2024조일0040,보람상조개발 주식회사,"5억 3,100만 원",과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,개인정보 유형 하; 고의·과실 중; 부당성 중,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,불수용 1회; 일부수용 1회,https://datalaw.kr/decisions/#mt-2026-009-057,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0352
2026-04-22,제2026-007-053호,"2025조이0019, 0096",재단법인 금릉공원묘원,"5,420만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 중,50,위반기간 2년 초과,80,이득 없음; 비영리법인·공공,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2026-007-053,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0295
2026-04-22,제2026-007-053호,"2025조이0019, 0096",재단법인 금릉공원묘원,"5,420만 원",과징금 부과기준(2023년 개정 이후),제24조의2,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 중,50,위반기간 2년 초과,80,이득 없음; 비영리법인·공공,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2026-007-053,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0295
